,AAPL,MSFT,NVDA,JPM,BAC,GS,XOM,CVX,JNJ,PFE,AMZN,TSLA,PG,KO,BA,CAT,SAP,ASML
AAPL,1.0,0.04223285184880002,0.04402855327177493,0.09592995677829408,0.1024196469882531,0.04207148345512022,0.09343287716258712,0.06481540943531071,0.04457835834020635,0.07437334056697291,0.0976445704454791,0.02740570600956177,0.014351105512853438,0.06388957244608286,0.10829728369604981,0.04619801333021623,0.12723043296684994,0.08864572670394624
MSFT,0.04223285184880002,1.0,0.08872399875806664,0.05223898544132336,0.05462105597987917,0.06489370842908311,0.10664542471041896,0.08377440284015468,0.08024391529713201,0.06536156006160089,0.12598025343189492,0.03154050524432878,0.07154772864216837,0.04451986907542177,0.0801377335607785,0.03169418765437673,0.02763284468501885,0.1160089964348901
NVDA,0.04402855327177493,0.08872399875806664,1.0,0.12421518966501656,0.047621526012011875,0.09490098460891218,0.12716776990536474,0.06495836282132891,0.1099629703835442,0.09107582139456351,0.113152420366503,0.0856408569763757,0.13883324322825868,0.07182766218051896,0.14196662809718555,0.07899283985440055,0.09422399989986328,0.10980428881799047
JPM,0.09592995677829408,0.05223898544132336,0.12421518966501656,1.0,0.10595868872788579,0.11280850218217295,0.059187943768673826,0.10855079902632614,0.11593710737724079,0.09611370910069683,0.16579840478965313,0.09268859788565097,0.11918221610836907,0.04693125114882857,0.13640075366305807,0.03516134888526383,0.13971462209823426,0.03572858396011979
BAC,0.1024196469882531,0.05462105597987917,0.047621526012011875,0.10595868872788579,1.0,0.03144952907634991,0.11385644845816033,0.10230207639161981,0.12399915447660109,0.11321481283671574,0.0515096419557123,0.08162900127936056,0.02017437464456644,0.06359293558281331,0.09624601316441385,0.06423051172786173,0.069090571439947,0.08685118150276717
GS,0.04207148345512022,0.06489370842908311,0.09490098460891218,0.11280850218217295,0.03144952907634991,1.0,0.13761593634424246,0.11515403357025558,0.11531280863383962,0.1098689091882155,0.12284891508869568,0.028847745904136617,0.06586207086130692,0.06992346139171207,0.07086839787863633,0.007975691520986315,0.1508126431963698,0.16141271612633598
XOM,0.09343287716258712,0.10664542471041896,0.12716776990536474,0.059187943768673826,0.11385644845816033,0.13761593634424246,1.0,0.12258892140938535,0.0792068622957253,0.13222555698188984,0.07902381524864578,0.05626549533011257,0.061173598966972956,0.10826297117136258,0.10285089926059554,0.10524205749186424,0.071256523704832,0.09959593218591764
CVX,0.06481540943531071,0.08377440284015468,0.06495836282132891,0.10855079902632614,0.10230207639161981,0.11515403357025558,0.12258892140938535,1.0,0.06759115549266129,0.13223641867973832,0.11765731986154562,0.07153644468340954,0.04791640200288018,0.11669668600185322,0.14784501089539287,0.07625241422155744,0.10057651377093553,0.08489256713329725
JNJ,0.04457835834020635,0.08024391529713201,0.1099629703835442,0.11593710737724079,0.12399915447660109,0.11531280863383962,0.0792068622957253,0.06759115549266129,1.0,0.023933179770364264,0.11415121073978739,0.09783018209105303,0.05784143289564518,0.06529280440993492,0.10738077626678687,0.08071975897756879,0.09712675302615907,0.10965862982995457
PFE,0.07437334056697291,0.06536156006160089,0.09107582139456351,0.09611370910069683,0.11321481283671574,0.1098689091882155,0.13222555698188984,0.13223641867973832,0.023933179770364264,1.0,0.08700574649875294,0.13229622364215335,0.08965792974444844,0.10132726369325401,0.14389341779231496,0.050516945982832295,0.10474029494400318,0.13829839258193716
AMZN,0.0976445704454791,0.12598025343189492,0.113152420366503,0.16579840478965313,0.0515096419557123,0.12284891508869568,0.07902381524864578,0.11765731986154562,0.11415121073978739,0.08700574649875294,1.0,0.032864587874953964,0.07852371308759493,0.06893056005891622,0.1175566169019682,0.10742804134216798,0.17019013621054283,0.15324111670818594
TSLA,0.02740570600956177,0.03154050524432878,0.0856408569763757,0.09268859788565097,0.08162900127936056,0.028847745904136617,0.05626549533011257,0.07153644468340954,0.09783018209105303,0.13229622364215335,0.032864587874953964,1.0,0.04596838297087452,0.10038677568394246,0.027264345135339894,0.10510189719396706,0.0936430723884455,0.05568521353501397
PG,0.014351105512853438,0.07154772864216837,0.13883324322825868,0.11918221610836907,0.02017437464456644,0.06586207086130692,0.061173598966972956,0.04791640200288018,0.05784143289564518,0.08965792974444844,0.07852371308759493,0.04596838297087452,1.0,0.11162273564727222,0.11972979554891368,0.09586766343929978,0.06670956158746455,0.04433960284432287
KO,0.06388957244608286,0.04451986907542177,0.07182766218051896,0.04693125114882857,0.06359293558281331,0.06992346139171207,0.10826297117136258,0.11669668600185322,0.06529280440993492,0.10132726369325401,0.06893056005891622,0.10038677568394246,0.11162273564727222,1.0,0.0741253457216846,-0.012456126826878605,0.028154725948386427,0.08583570197580961
BA,0.10829728369604981,0.0801377335607785,0.14196662809718555,0.13640075366305807,0.09624601316441385,0.07086839787863633,0.10285089926059554,0.14784501089539287,0.10738077626678687,0.14389341779231496,0.1175566169019682,0.027264345135339894,0.11972979554891368,0.0741253457216846,1.0,0.08752041085329962,0.12837481888322072,0.1619005168770197
CAT,0.04619801333021623,0.03169418765437673,0.07899283985440055,0.03516134888526383,0.06423051172786173,0.007975691520986315,0.10524205749186424,0.07625241422155744,0.08071975897756879,0.050516945982832295,0.10742804134216798,0.10510189719396706,0.09586766343929978,-0.012456126826878605,0.08752041085329962,1.0,0.048370287247494946,0.08372080826489266
SAP,0.12723043296684994,0.02763284468501885,0.09422399989986328,0.13971462209823426,0.069090571439947,0.1508126431963698,0.071256523704832,0.10057651377093553,0.09712675302615907,0.10474029494400318,0.17019013621054283,0.0936430723884455,0.06670956158746455,0.028154725948386427,0.12837481888322072,0.048370287247494946,1.0,0.07589082856614714
ASML,0.08864572670394624,0.1160089964348901,0.10980428881799047,0.03572858396011979,0.08685118150276717,0.16141271612633598,0.09959593218591764,0.08489256713329725,0.10965862982995457,0.13829839258193716,0.15324111670818594,0.05568521353501397,0.04433960284432287,0.08583570197580961,0.1619005168770197,0.08372080826489266,0.07589082856614714,1.0
