,AAPL,MSFT,NVDA,JPM,BAC,GS,XOM,CVX,JNJ,PFE,AMZN,TSLA,PG,KO,BA,CAT,SAP,ASML
AAPL,0.8780972127502242,0.0019008121675274069,0.0063688700436706725,0.007139934364328591,0.008740152829849506,0.0030878940184315066,0.01741179717386605,0.004260660345024143,0.004857412153188279,0.008346192791280533,0.010763157799471441,0.0036292808890699994,0.005511378771424689,0.0025101941142699697,0.010483119690841302,0.002255303220140192,0.0167905369530253,0.007846089924366128
MSFT,0.014750809590177875,0.8642356998224415,0.009349145535444641,0.004338914363456105,0.008784464930412033,0.006173771695123413,0.010615224385476664,0.009468931250607217,0.0064654884782336785,0.01046332991729385,0.013427251081135062,0.004927079119005988,0.0035294705424368,0.0047622675979013965,0.006317027717705841,0.0028175303957772195,0.0013447146543213511,0.01822887892304932
NVDA,0.01018591629840567,0.004623263316757287,0.7939645613374667,0.020776869614668098,0.011079256946112904,0.015092501151409114,0.014827907527836044,0.015682638829926838,0.007969840719761711,0.011655159648523846,0.01218058531075309,0.006969934070607345,0.017266835116567916,0.004239368799256157,0.03077784621314015,0.006853517351280819,0.006155711902215714,0.009698285845310697
JPM,0.007882444157250083,0.00200781228617771,0.009958092492322332,0.8235786230972937,0.008968865618610461,0.010319576483122348,0.0037862660680480385,0.017739468388133898,0.013918863010743856,0.008759333556207264,0.026243117703750072,0.007800508235613227,0.012810110523510958,0.0018554906892089347,0.018647341202482598,0.007079218538783014,0.016767421960048733,0.0018774459886929946
BAC,0.010097766409711264,0.0034025349109666407,0.0030784781115911356,0.010556703794495187,0.8734512730663267,0.003599366570771631,0.012642309368122561,0.009987177761827847,0.02061601103362618,0.010036532201351131,0.0018042980845411837,0.007026463511856738,0.0019118282324639497,0.0044406175814412,0.006955845070851882,0.00357815669535735,0.010714237211815456,0.006100400382881894
GS,0.0051550342336013685,0.0039429994885568035,0.007891900202907599,0.021404137981702313,0.0038452772014368622,0.8359592209260057,0.01657311066247761,0.011096651884772773,0.011052941127142177,0.009878289870600378,0.015071872505624423,0.002369206538209595,0.0033732212471571555,0.0051834579615541625,0.00578045163105592,0.00047449347976479043,0.01719309458125493,0.023754638476175476
XOM,0.010593964788756984,0.008605311463755955,0.011908496809046962,0.0015805857202332372,0.01293598235403939,0.02069249795427079,0.8249167550383933,0.01609307764353778,0.006674832623243144,0.01762912876322857,0.006844057194650031,0.006270761054892118,0.007007169561917488,0.01216023498103442,0.007822410867625442,0.010187011638930548,0.007184024281143778,0.010893697261299708
CVX,0.004677891819614919,0.011731948669219722,0.0031122557583666637,0.01362417038193845,0.006433881461801335,0.01731205055151261,0.01970170179677271,0.8201666491253823,0.00764714199628913,0.019290953901376817,0.011570586040236105,0.0061973099924104305,0.00565123771698876,0.0122915931048755,0.018906256639417744,0.004598959200233145,0.012592931887215499,0.004492479956348255
JNJ,0.0031364097379201934,0.005214631391482628,0.009085945015451522,0.013399587293115106,0.013547169764486158,0.011720984635581458,0.005962591580250247,0.0037575494990594515,0.8700247676793509,0.001372031680884414,0.010847058370085485,0.009460471055085698,0.003181434681320632,0.0037478837493122356,0.010553139716304836,0.006486987693308113,0.008259728900688068,0.010241627556312971
PFE,0.0034861128305520937,0.006785899598995332,0.008941250963308474,0.006238968557493913,0.009693320766539327,0.0112015029343701,0.018958532134284885,0.014389998724140277,0.012616646716448396,0.8080463671982019,0.009693039188981865,0.01877344268589648,0.008531033608074425,0.01051313383588771,0.016083378683546697,0.007833040286437163,0.006005976592779156,0.022208354694061818
AMZN,0.00617542662600741,0.013264085514442898,0.014020987872219259,0.026957301912262612,0.0073437061698946055,0.011697303715060716,0.010467454168851174,0.012045731615408433,0.011944116366512507,0.006960282639982417,0.7799861597733683,0.006628516797323176,0.008659908196505918,0.006221567799706195,0.0210200566475002,0.013509440945662235,0.02796267629762803,0.01513527694166387
TSLA,0.000936760334140664,0.0007119662025527976,0.006533745928617026,0.01171168009856989,0.007256841823596028,0.011715222212404452,0.0036936215919242464,0.0060772815557343105,0.012824278862706727,0.022464136521438693,0.0047158869806089125,0.8686108945633666,0.004549049483575582,0.007602212786245907,0.0021517856213857235,0.012014162011938504,0.009961238179025365,0.00646923524216874
PG,0.003548308322730561,0.003987914300508382,0.019988998101105306,0.010930844305459679,0.0007122467355077073,0.00812853528736035,0.00423669842534009,0.0057240348486706115,0.006258892878043657,0.007925404632672531,0.006333079339548937,0.002307641555216039,0.8459949563319973,0.035612247449599774,0.011096559719359184,0.010864126283055001,0.011524870488542486,0.00482464099528234
