,value
own_lag1,0.060074151744062235
net_lag1_r1,0.02712585724195188
net_lag1_r2,0.046521129573449345
own_lag2,0.009869551262250264
net_lag2_r1,0.004415094340389497
fed_funds_rate_lag1,-0.0007634832220845651
fed_funds_rate_lag5,-0.0003301161900852514
ecb_main_refi_rate_lag1,0.0006741542396484144
ecb_main_refi_rate_lag5,-0.00048601565149538516
lambda1_share_lag1,0.006648407418472058
lambda1_share_lag5,-0.008006581092512486
lambda1_share_roc_lag1,0.030072555664293968
lambda1_share_roc_lag5,-0.028067541028629656
n_significant_mp_lag1,0.0009916823520267728
n_significant_mp_lag5,-0.0002629636951947627
regime_prob_stress_lag1,-0.0033635252850156444
regime_prob_stress_lag5,0.0034717379129293457
__intercept__,0.0012823238597632044
