,RMSE,MAE,R2_oos,Directional_Accuracy,n_obs
AAPL,0.012604248582584453,0.010097052563662005,0.004789059796717621,0.5833333333333334,60.0
MSFT,0.01022017479701298,0.00823412632301501,-0.010771882834251123,0.5833333333333334,60.0
NVDA,0.009968768662273529,0.007818436551243512,0.018681326585989422,0.5166666666666667,60.0
JPM,0.008109007595550279,0.005886370628509842,0.01501757445114249,0.6166666666666667,60.0
BAC,0.009632200636850798,0.0073031722349349605,-0.0365963331398893,0.45,60.0
GS,0.010739931405316322,0.0084796857836285,0.04967424460844816,0.5833333333333334,60.0
XOM,0.018164025261202022,0.013973872509857021,-0.1089867531407065,0.5,60.0
CVX,0.017716855467036215,0.01439930548985081,-0.15395730016292175,0.43333333333333335,60.0
JNJ,0.00685970674454044,0.005214810966209512,-0.11004073562379535,0.5,60.0
PFE,0.006645266563797644,0.005424967627241312,-0.07133259128858294,0.4666666666666667,60.0
AMZN,0.008919942824488904,0.00691851753845606,-0.14673376358942658,0.4,60.0
TSLA,0.012467155940820958,0.009468860409912185,-0.08274937976231622,0.38333333333333336,60.0
PG,0.007153619030281355,0.0058448928499103825,-0.18145594264332932,0.45,60.0
KO,0.009583602777144434,0.007491762932685112,-0.1301351045281678,0.48333333333333334,60.0
BA,0.008604273935937996,0.006663788760009536,-0.09240479566846638,0.5166666666666667,60.0
CAT,0.00869595439320128,0.006777905883085632,-0.13580831653140435,0.4666666666666667,60.0
SAP,0.007290966649980306,0.0060865446464863325,-0.10055834171023048,0.5166666666666667,60.0
ASML,0.007654271313624995,0.006194531105808313,-0.18377678909661022,0.48333333333333334,60.0
__ALL__,0.010569939111739913,0.007904366933583668,,0.4962962962962963,1080.0
