,MSE_variance,QLIKE,n_obs
AAPL,4.8834546587354484e-08,-7.679721012468537,60.0
MSFT,2.961939338080019e-08,-8.050932386442845,60.0
NVDA,2.9308532928127578e-08,-8.229817069261664,60.0
JPM,1.7296695064489437e-08,-8.55732397436895,60.0
BAC,2.0503091180215105e-08,-8.21011643822577,60.0
GS,3.045983846717467e-08,-7.9654717398319725,60.0
XOM,2.5208120309329204e-07,-6.59716450231789,60.0
CVX,1.6062120710814877e-07,-6.68823652636093,60.0
JNJ,1.1352680925349193e-08,-8.685986967498796,60.0
PFE,9.15761238895549e-09,-8.739941739677674,60.0
AMZN,1.8814940872624285e-08,-8.409686765893854,60.0
TSLA,9.354499258870044e-08,-7.762531180669347,60.0
PG,9.752453007729381e-09,-8.662828072358524,60.0
KO,1.6147706531476665e-08,-8.303419126877253,60.0
BA,1.5831427944194983e-08,-8.485129826125403,60.0
CAT,1.4839384526468325e-08,-8.384849580391284,60.0
SAP,1.0227752554440619e-08,-8.577304009406303,60.0
ASML,1.3640984797216327e-08,-8.501526776968886,60.0
__ALL__,4.4557469108153224e-08,-8.138443760841437,1080.0
