,MSE_variance,QLIKE,n_obs
AAPL,4.9465341756900965e-08,-7.636545955335418,60.0
MSFT,2.6574945736049126e-08,-8.0355867451124,60.0
NVDA,2.7459618336276034e-08,-8.314818764938272,60.0
JPM,1.691115665691009e-08,-8.55539370443514,60.0
BAC,2.1949941604787833e-08,-8.172040251528477,60.0
GS,3.059908868344154e-08,-7.933043064546781,60.0
XOM,2.595099148841568e-07,-6.3003176445230356,60.0
CVX,1.5687054933532275e-07,-6.4929712535702375,60.0
JNJ,4.447917346104713e-09,-9.022977887332354,60.0
PFE,3.3691855352468606e-09,-9.082762747659546,60.0
AMZN,1.6243811590580586e-08,-8.271533637105588,60.0
TSLA,9.412504778648919e-08,-7.706592194497585,60.0
PG,4.130819768126229e-09,-8.939150366489589,60.0
KO,1.3465081249932653e-08,-8.396496777719872,60.0
BA,1.465236533416084e-08,-8.532771773749378,60.0
CAT,8.751425649620307e-09,-8.527519920218134,60.0
SAP,3.0954186427378613e-09,-8.882164974899988,60.0
ASML,4.4089310855037635e-09,-8.80565716126305,60.0
__ALL__,4.200169783235266e-08,-8.200463601384712,1080.0
