,lambda1_share,lambda1_share_roc,n_significant_mp,regime_prob_stress
2023-03-03,,,,
2023-03-06,,,,
2023-03-07,,,,
2023-03-08,,,,
2023-03-09,,,,
2023-03-10,,,,
2023-03-13,,,,
2023-03-14,,,,
2023-03-15,,,,
2023-03-16,,,,
2023-03-17,,,,
2023-03-20,,,,
2023-03-21,,,,
2023-03-22,,,,
2023-03-23,,,,
2023-03-24,,,,
2023-03-27,,,,
2023-03-28,,,,
2023-03-29,,,,
2023-03-30,,,,
2023-03-31,,,,
2023-04-03,,,,
2023-04-04,,,,
2023-04-05,,,,
2023-04-06,,,,
2023-04-07,,,,
2023-04-10,,,,
2023-04-11,,,,
2023-04-12,,,,
2023-04-13,,,,
2023-04-14,,,,
2023-04-17,,,,
2023-04-18,,,,
2023-04-19,,,,
2023-04-20,,,,
2023-04-21,,,,
2023-04-24,,,,
2023-04-25,,,,
2023-04-26,,,,
2023-04-27,,,,
2023-04-28,,,,
2023-05-01,,,,
2023-05-02,,,,
2023-05-03,,,,
2023-05-04,,,,
2023-05-05,,,,
2023-05-08,,,,
2023-05-09,,,,
2023-05-10,,,,
2023-05-11,,,,
2023-05-12,,,,
2023-05-15,,,,
2023-05-16,,,,
2023-05-17,,,,
2023-05-18,,,,
2023-05-19,,,,
2023-05-22,,,,
2023-05-23,,,,
2023-05-24,,,,
2023-05-25,0.12668769703791563,,0.0,1.5317878531386276e-43
2023-05-26,0.12648420433414143,,0.0,1.0006939884363426e-05
2023-05-29,0.13166664472450196,,0.0,2.119276066514103e-05
2023-05-30,0.1330546584562624,,0.0,2.7632612286736658e-05
2023-05-31,0.13400961348278295,,1.0,3.3616470920715195e-05
2023-06-01,0.13421128518813338,0.007523588150217753,1.0,3.520024162088103e-05
2023-06-02,0.13387502119584557,0.007390816861704147,1.0,3.286636435954785e-05
2023-06-05,0.13490722713876355,0.003240582414261589,1.0,4.0827730419850384e-05
2023-06-06,0.1311823424460135,-0.0018723160102488978,0.0,1.9898385091516833e-05
2023-06-07,0.12894554126745958,-0.005064072215323373,0.0,1.3833975241688307e-05
2023-06-08,0.13119331789071287,-0.003017967297420515,0.0,1.957186292611305e-05
2023-06-09,0.12799395936224725,-0.005881061833598322,0.0,1.2155620272605342e-05
2023-06-12,0.12546710352139667,-0.009440123617366875,0.0,9.081616640965218e-06
2023-06-13,0.12561697240474057,-0.0055653700412729434,0.0,9.196596044162123e-06
2023-06-14,0.12583831659194655,-0.003107224675513026,0.0,9.404184939867779e-06
2023-06-15,0.12334937143445007,-0.007843946456262796,0.0,7.594433685968132e-06
2023-06-16,0.12134576088540627,-0.006648198476840977,0.0,6.764959904623597e-06
2023-06-19,0.12324087376678408,-0.002226229754612591,0.0,7.523835588403197e-06
2023-06-20,0.11596926827211135,-0.00964770413262922,0.0,6.419583092771242e-06
2023-06-21,0.1143047560843651,-0.011533560507581447,0.0,6.804577629551747e-06
2023-06-22,0.11585174008235241,-0.007497631352097661,0.0,6.435664581077609e-06
2023-06-23,0.1159054534648674,-0.005440307420538873,0.0,6.425066400921162e-06
2023-06-26,0.11586215068661818,-0.007378723080165905,0.0,6.432219288849227e-06
2023-06-27,0.11794389512013151,0.001974626848020161,0.0,6.2633522019286435e-06
2023-06-28,0.11786485554165312,0.00356009945728801,0.0,6.262585143318285e-06
2023-06-29,0.11825085978671615,0.002399119704363739,0.0,6.267517062693608e-06
2023-06-30,0.1210561561345587,0.0051507026696912955,0.0,6.676298216976142e-06
2023-07-03,0.11957252620154699,0.00371037551492881,0.0,6.377961002698651e-06
2023-07-04,0.12185862291173871,0.003914727791607203,0.0,6.926073492904175e-06
2023-07-05,0.12242712985421773,0.004562274312564618,0.0,7.14663151526262e-06
2023-07-06,0.12063036886817284,0.0023795090814566905,0.0,6.573723083562781e-06
2023-07-07,0.12069118167820414,-0.0003649744563545554,0.0,6.5852992929449794e-06
2023-07-10,0.1203626553674751,0.000790129165928119,0.0,6.512776378211728e-06
2023-07-11,0.11936952026380632,-0.0024891026479323952,0.0,6.351168110669808e-06
2023-07-12,0.118708831653253,-0.0037182982009647397,0.0,6.289343958685532e-06
2023-07-13,0.11738303976502729,-0.003247329103145555,0.0,6.273354544173642e-06
2023-07-14,0.11747786844886852,-0.0032133132293356154,0.0,6.269709514334066e-06
2023-07-17,0.11654185754653495,-0.00382079782094015,0.0,6.337016551609206e-06
2023-07-18,0.11557246198249797,-0.0037970582813083437,0.0,6.484212299972804e-06
2023-07-19,0.11116409827794309,-0.007544733375309906,0.0,8.379832178767843e-06
2023-07-20,0.11145847949156683,-0.005924560273460458,0.0,8.184545983991006e-06
2023-07-21,0.10936048337089685,-0.008117385077971676,0.0,1.0012076737690802e-05
2023-07-24,0.11002578670974131,-0.006516070836793647,0.0,9.346315052625701e-06
2023-07-25,0.11136781370574558,-0.00420464827675239,0.0,8.252062804137623e-06
2023-07-26,0.10931907090746681,-0.0018450273704762737,0.0,1.0058200409451886e-05
2023-07-27,0.10949474984388251,-0.0019637296476843202,0.0,9.879751534787217e-06
2023-07-28,0.10974550957215405,0.000385026201257202,0.0,9.618786895922473e-06
2023-07-31,0.10996756719762818,-5.8219512113127925e-05,0.0,9.399116267047772e-06
2023-08-01,0.11400608062705933,0.0026382669213137477,0.0,6.917169728461496e-06
2023-08-02,0.11221375969498786,0.002894688787521041,0.0,7.709565371001507e-06
2023-08-03,0.11014001479032068,0.0006452649464381705,0.0,9.225133813813141e-06
2023-08-04,0.11061274935767895,0.0008672397855249009,0.0,8.822758807063256e-06
2023-08-07,0.11033791299215581,0.0003703457945276323,0.0,9.054340019703276e-06
2023-08-08,0.1090298765653211,-0.0049762040617382375,0.0,1.0395021823655707e-05
2023-08-09,0.11521402758367214,0.00300026788868428,0.0,6.5778160336810255e-06
2023-08-10,0.1172704247327809,0.007130409942460225,0.0,6.279798425858461e-06
2023-08-11,0.11574895716438632,0.005136207806707371,0.0,6.451163027653848e-06
2023-08-14,0.1145806188380979,0.0042427058459420935,0.0,6.721959483778228e-06
2023-08-15,0.11524070179172388,0.0062108252264027886,0.0,6.555141040682868e-06
2023-08-16,0.11653621154603346,0.0013221839623613202,0.0,6.338893234294024e-06
2023-08-17,0.11759340587018029,0.0003229811373993835,0.0,6.266617479158503e-06
2023-08-18,0.11507774254488663,-0.000671214619499691,0.0,6.590735084526897e-06
